id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,host_listing_count,availability_365
1148759,1030835,Mariano,Manhattan,Hell's Kitchen,40.75380026,-73.99612252,Entire home/apt,250,1,10,11/15/14,1.1,1,365
4720267,24383694,Linnea,Brooklyn,Bushwick,40.69599339,-73.9129478,Private room,50,1,0,,,1,5
265899,679157,Jeremy,Manhattan,East Village,40.722521,-73.98506032,Entire home/apt,199,2,9,6/7/14,0.3,1,365
1982909,5767473,Eliana,Manhattan,Soho,40.72531996,-74.00315129,Entire home/apt,200,2,8,10/14/14,0.9,1,365
3411673,422891,Sloane,Manhattan,Union Square,40.7365759,-73.98788196,Entire home/apt,215,2,10,11/30/14,1.6,1,258
4641929,24033752,Sergio,Queens,Bayside,40.76484992,-73.76986806,Private room,80,1,0,,,1,365
4447203,23078896,Hannah,Manhattan,Soho,40.72811951,-74.00192965,Entire home/apt,385,2,3,12/27/14,1.7,1,312
1249039,6806098,Rachael,Manhattan,East Harlem,40.80082355,-73.93750201,Private room,100,1,3,8/31/14,0.2,1,339
266070,1395366,Sam,Manhattan,Hell's Kitchen,40.76606406,-73.98640891,Entire home/apt,275,7,0,,,1,365
2283499,4308111,Adam,Brooklyn,Bushwick,40.70389979,-73.92832427,Private room,60,5,2,9/30/14,0.6,1,276
3811251,19590880,Kendall,Manhattan,Financial District,40.70917022,-74.01545398,Entire home/apt,250,1,3,12/15/14,1.1,1,365
26321,111359,Tony,Queens,Flushing,40.75423253,-73.83202163,Private room,60,1,24,10/1/14,0.5,5,294
1914354,4548708,Miki & Patricia,Staten Island,Bay Terrace,40.56357634,-74.13136046,Private room,59,4,0,,,3,365
669177,2050464,Kimiko,Brooklyn,Downtown Brooklyn,40.69552902,-73.98433722,Private room,80,5,7,10/25/14,0.2,2,209
1511358,2432389,Asaf,Manhattan,East Village,40.7286634,-73.98333864,Private room,75,3,0,,,1,350
4532153,23498177,Amber,Manhattan,Financial District,40.71164697,-74.00689481,Entire home/apt,170,4,0,,,1,29
4263880,3609048,Ken,Brooklyn,Crown Heights,40.67008883,-73.93290347,Private room,89,1,3,10/20/14,1.1,1,365
4204496,20619659,Anita,Manhattan,Harlem,40.80624793,-73.94727518,Entire home/apt,150,2,12,12/13/14,4.2,3,343
2756617,76701,Irena,Queens,Jackson Heights,40.75281053,-73.89323984,Entire home/apt,125,1,0,,,1,226
4356993,8190325,Nica,Brooklyn,Bedford-Stuyvesant,40.68747899,-73.94095907,Entire home/apt,185,2,0,,,3,46
2625559,6077308,Kenneth,Manhattan,Nolita,40.72345094,-73.99465748,Private room,99,3,22,11/27/14,2.4,2,295
3215402,671310,Oliver,Brooklyn,Crown Heights,40.67253656,-73.95294921,Private room,50,2,1,7/15/14,0.2,1,188
3739712,2523466,Simon,Manhattan,Hell's Kitchen,40.7621459,-73.99036284,Private room,120,2,12,12/16/14,2.9,2,365
3251014,8349905,Lorna,Manhattan,Midtown East,40.75990305,-73.96605187,Entire home/apt,250,4,2,9/20/14,0.4,1,201
3552795,17885199,Julien,Manhattan,Gramercy Park,40.7366769,-73.98359185,Entire home/apt,240,1,0,,,1,365
4316987,3274316,Clotaire,Manhattan,Harlem,40.81196035,-73.94493181,Private room,103,1,7,12/25/14,3.3,1,365
146726,709334,Julie,Manhattan,Harlem,40.80330194,-73.94570317,Entire home/apt,175,2,16,11/9/14,0.4,3,200
2243984,11461854,Lauren,Manhattan,West Village,40.73295402,-74.00755355,Entire home/apt,1500,1,0,,,1,321
3816555,1789655,James,Brooklyn,Bushwick,40.69050268,-73.91742978,Private room,55,3,2,11/7/14,0.7,7,349
987273,1017388,Christy,Manhattan,East Village,40.72959353,-73.98131444,Private room,100,2,20,10/14/14,0.9,1,15
790679,4026400,Limor,Manhattan,Times Square/Theatre District,40.75970027,-73.99017796,Entire home/apt,350,1,27,12/11/14,1.1,1,280
3084467,15695211,Mary Page,Manhattan,Washington Heights,40.84309657,-73.93665815,Private room,55,1,2,10/6/14,0.3,1,321
3543227,3912009,Brendan,Manhattan,Hamilton Heights,40.82192774,-73.9449888,Entire home/apt,450,1,1,10/16/14,0.4,1,152
3084480,3405218,Zeke,Brooklyn,Crown Heights,40.67531416,-73.9423991,Private room,65,2,2,12/31/14,2,1,365
4507875,6689454,Luca,Manhattan,Financial District,40.70685009,-74.01016352,Entire home/apt,150,1,0,,,1,33
463042,1333948,Yasemin,Manhattan,Nolita,40.72420156,-73.99622953,Entire home/apt,220,2,15,5/31/14,0.5,1,12
1380550,7476132,Michael,Manhattan,West Village,40.73768251,-74.00550416,Entire home/apt,149,2,1,11/11/13,0.1,1,185
862233,4462261,German A,Brooklyn,Bushwick,40.70315976,-73.92992216,Entire home/apt,145,3,9,12/16/14,0.6,2,358
4401193,22205787,Adrien,Manhattan,Morningside Heights,40.80699356,-73.95937419,Entire home/apt,150,2,1,11/8/14,0.5,1,48
1923127,9964920,Daniel,Brooklyn,Greenpoint,40.72117134,-73.94731458,Private room,150,1,6,11/14/14,0.5,1,365
10980,39955,Andrea,Manhattan,Midtown East,40.75064206,-73.97060385,Entire home/apt,225,5,89,11/30/14,1.4,2,47
3084650,1622421,Valeria,Brooklyn,Greenpoint,40.72343937,-73.94203707,Entire home/apt,90,14,0,,,2,203
4524307,304503,Antoine,Brooklyn,Crown Heights,40.67693916,-73.96077092,Private room,75,1,0,,,1,37
2101625,4024672,Jacob,Manhattan,Kips Bay,40.74456013,-73.97708211,Entire home/apt,150,1,0,,,1,353
2173063,11085990,James,Bronx,Fordham,40.86534578,-73.90032746,Private room,95,1,0,,,1,365
528802,2437017,Ariel,Manhattan,Hamilton Heights,40.8280699,-73.94570077,Entire home/apt,140,1,32,12/30/14,1.1,2,365
4073641,21127377,Orhun,Manhattan,East Village,40.72620022,-73.98910845,Entire home/apt,350,2,2,12/29/14,1.8,2,27
2566316,7939437,Izaac,Brooklyn,Bushwick,40.69785852,-73.91856569,Private room,65,2,0,,,1,190
4588280,21101792,Kim,Manhattan,Midtown,40.74675392,-73.98927481,Entire home/apt,199,1,3,12/17/14,2.4,2,274
3674594,11071605,Gimena,Manhattan,Midtown East,40.75627682,-73.97803264,Private room,130,1,3,10/25/14,0.6,1,152
2160591,6326737,Benjamin,Brooklyn,Bushwick,40.68926492,-73.91595269,Private room,70,3,10,10/24/14,1.2,1,364
1498148,8005635,Daniel,Manhattan,Hell's Kitchen,40.75929597,-73.99146052,Private room,165,3,41,12/5/14,2.5,1,256
4214098,8280546,Daniel,Manhattan,Midtown,40.7463462,-73.98733459,Private room,195,1,0,,,1,362
4270409,21845215,Javier,Manhattan,Financial District,40.70615835,-74.01534796,Entire home/apt,250,3,0,,,1,351
2757138,14104350,Irving,Brooklyn,Bedford-Stuyvesant,40.68313624,-73.94219731,Entire home/apt,250,2,16,12/14/14,2.1,1,356
3792692,7173872,Nate,Brooklyn,Crown Heights,40.67423897,-73.94136541,Private room,65,1,1,8/25/14,0.2,1,214
4598007,17009305,Amanda,Manhattan,West Village,40.7379251,-74.00768107,Entire home/apt,200,3,0,,,1,293
3811578,7949,Christine,Brooklyn,Prospect Heights,40.67776559,-73.96931116,Private room,70,4,3,11/23/14,0.7,1,0
3549454,2829169,Abigail,Brooklyn,Bushwick,40.70039164,-73.92209904,Private room,45,3,2,8/11/14,0.4,1,151
4723324,23779181,Jazmine,Manhattan,West Village,40.73133446,-74.00634003,Private room,200,1,0,,,1,365
4270361,3645994,Jinhee & Kristopher,Brooklyn,Greenpoint,40.73283204,-73.9512322,Entire home/apt,150,1,1,11/28/14,0.8,1,73
2513973,12868307,Maria,Brooklyn,Bedford-Stuyvesant,40.69437341,-73.94671644,Private room,90,2,2,5/6/14,0.2,1,365
4783674,24662844,Usama,Brooklyn,Bushwick,40.69422856,-73.91942579,Private room,120,1,0,,,1,1
1315538,2775682,Douglas,Manhattan,Financial District,40.70694895,-74.01044209,Entire home/apt,450,2,0,,,1,365
1970913,6915050,Your Host,Manhattan,Hell's Kitchen,40.76507671,-73.98457255,Private room,125,7,2,1/17/14,0.2,1,91
3090766,422286,Vince,Manhattan,East Village,40.72982659,-73.9807506,Entire home/apt,3000,1,0,,,2,204
3478256,17519061,Amy,Staten Island,St. George,40.64091229,-74.07994659,Private room,60,1,8,11/2/14,1.5,2,365
267001,647248,Irit,Manhattan,Morningside Heights,40.80519498,-73.96450058,Private room,50,1,0,,,1,365
1839878,9615825,Boki,Manhattan,East Village,40.72774043,-73.98847359,Private room,100,1,5,12/28/14,1.5,3,365
4764050,16561492,Remy,Manhattan,Midtown East,40.75425511,-73.96720095,Private room,100,2,1,12/17/14,1,1,365
